
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"January","2012","Monday","15:00 to 17:59","Fatal collisions",4,7,4,4
"January","2012","Monday","15:00 to 17:59","Injury collisions",358,673,481,0
"January","2012","Monday","18:00 to 20:59","Fatal collisions",3,7,7,4
"January","2012","Monday","18:00 to 20:59","Injury collisions",250,430,338,0
"January","2012","Monday","21:00 to 23:59","Fatal collisions",4,6,1,4
"January","2012","Monday","21:00 to 23:59","Injury collisions",115,167,139,0
"January","2012","Tuesday","Midnight to 2:59","Fatal collisions",1,6,1,1
"January","2012","Tuesday","Midnight to 2:59","Injury collisions",35,46,42,0
"January","2012","Tuesday","3:00 to 5:59","Fatal collisions",2,3,0,2
"January","2012","Tuesday","3:00 to 5:59","Injury collisions",33,47,44,0
"January","2012","Tuesday","6:00 to 8:59","Fatal collisions",0,0,0,0
"January","2012","Tuesday","6:00 to 8:59","Injury collisions",270,473,333,0
"January","2012","Tuesday","9:00 to 11:59","Fatal collisions",2,5,2,2
"January","2012","Tuesday","9:00 to 11:59","Injury collisions",235,426,305,0
"January","2012","Tuesday","12:00 to 14:59","Fatal collisions",3,8,5,8
"January","2012","Tuesday","12:00 to 14:59","Injury collisions",285,517,370,0
"January","2012","Tuesday","15:00 to 17:59","Fatal collisions",4,7,2,4
"January","2012","Tuesday","15:00 to 17:59","Injury collisions",427,773,552,0
"January","2012","Tuesday","18:00 to 20:59","Fatal collisions",4,5,9,6
"January","2012","Tuesday","18:00 to 20:59","Injury collisions",254,406,347,0
"January","2012","Tuesday","21:00 to 23:59","Fatal collisions",2,3,1,2
"January","2012","Tuesday","21:00 to 23:59","Injury collisions",101,162,142,0
"January","2012","Wednesday","Midnight to 2:59","Fatal collisions",2,5,0,2
"January","2012","Wednesday","Midnight to 2:59","Injury collisions",32,43,45,0
"January","2012","Wednesday","3:00 to 5:59","Fatal collisions",1,2,1,3
