
,,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Class I","Speed limit","Pedestrians",
"May","2021","Rural","Unknown","Collisions with 0 pedestrians",77,110,3
"May","2021","Rural","Unknown","Collisions with 1 pedestrian",4,4,1
"May","2021","Rural","Unknown","Collisions with 2 pedestrians",0,0,0
"May","2021","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",1,2,0
"May","2021","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"May","2021","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","50 km per hour","Collisions with 0 pedestrians",4,4,1
"May","2021","Unknown","50 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Unknown","50 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2021","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","60 km per hour","Collisions with 0 pedestrians",2,2,0
"May","2021","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","70 km per hour","Collisions with 0 pedestrians",3,4,0
"May","2021","Unknown","70 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2021","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","80 km per hour","Collisions with 0 pedestrians",1,1,0
"May","2021","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","90 km per hour","Collisions with 0 pedestrians",1,1,0
"May","2021","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","100 km per hour","Collisions with 0 pedestrians",3,3,0
"May","2021","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"May","2021","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Unknown","Unknown","Collisions with 0 pedestrians",35,41,0
"May","2021","Unknown","Unknown","Collisions with 1 pedestrian",6,6,0
"May","2021","Unknown","Unknown","Collisions with 2 pedestrians",0,0,0
"May","2021","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",88,98,0
"June","2010","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",13,13,0
"June","2010","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",1,2,0
"June","2010","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Urban","40 km per hour","Collisions with 0 pedestrians",229,286,1
"June","2010","Urban","40 km per hour","Collisions with 1 pedestrian",69,73,0
"June","2010","Urban","40 km per hour","Collisions with 2 pedestrians",4,7,0
"June","2010","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Urban","50 km per hour","Collisions with 0 pedestrians",3821,5316,14
"June","2010","Urban","50 km per hour","Collisions with 1 pedestrian",469,480,8
"June","2010","Urban","50 km per hour","Collisions with 2 pedestrians",42,64,0
"June","2010","Urban","50 km per hour","Collisions with 3 or more pedestrians",7,9,0
"June","2010","Urban","60 km per hour","Collisions with 0 pedestrians",1163,1764,8
"June","2010","Urban","60 km per hour","Collisions with 1 pedestrian",61,74,0
"June","2010","Urban","60 km per hour","Collisions with 2 pedestrians",10,16,0
"June","2010","Urban","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Urban","70 km per hour","Collisions with 0 pedestrians",220,328,2
"June","2010","Urban","70 km per hour","Collisions with 1 pedestrian",2,2,0
"June","2010","Urban","70 km per hour","Collisions with 2 pedestrians",2,4,0
"June","2010","Urban","70 km per hour","Collisions with 3 or more pedestrians",1,2,1
"June","2010","Urban","80 km per hour","Collisions with 0 pedestrians",91,132,5
"June","2010","Urban","80 km per hour","Collisions with 1 pedestrian",3,3,0
"June","2010","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Urban","90 km per hour","Collisions with 0 pedestrians",64,82,6
"June","2010","Urban","90 km per hour","Collisions with 1 pedestrian",0,0,0
"June","2010","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Urban","100 km per hour","Collisions with 0 pedestrians",113,150,4
"June","2010","Urban","100 km per hour","Collisions with 1 pedestrian",2,3,2
"June","2010","Urban","100 km per hour","Collisions with 2 pedestrians",1,1,0
"June","2010","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Urban","110 km per hour","Collisions with 0 pedestrians",9,12,0
"June","2010","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"June","2010","Urban","110 km per hour","Collisions with 2 pedestrians",1,1,0
"June","2010","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Urban","Unknown","Collisions with 0 pedestrians",609,767,3
"June","2010","Urban","Unknown","Collisions with 1 pedestrian",94,98,0
"June","2010","Urban","Unknown","Collisions with 2 pedestrians",17,20,0
"June","2010","Urban","Unknown","Collisions with 3 or more pedestrians",2,2,0
"June","2010","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",22,28,1
"June","2010","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",2,2,0
"June","2010","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Rural","40 km per hour","Collisions with 0 pedestrians",12,20,1
"June","2010","Rural","40 km per hour","Collisions with 1 pedestrian",1,1,0
"June","2010","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Rural","50 km per hour","Collisions with 0 pedestrians",193,256,5
"June","2010","Rural","50 km per hour","Collisions with 1 pedestrian",6,7,0
"June","2010","Rural","50 km per hour","Collisions with 2 pedestrians",2,2,0
"June","2010","Rural","50 km per hour","Collisions with 3 or more pedestrians",3,3,0
"June","2010","Rural","60 km per hour","Collisions with 0 pedestrians",83,109,3
"June","2010","Rural","60 km per hour","Collisions with 1 pedestrian",5,6,0
"June","2010","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Rural","60 km per hour","Collisions with 3 or more pedestrians",1,4,0
"June","2010","Rural","70 km per hour","Collisions with 0 pedestrians",342,513,6
"June","2010","Rural","70 km per hour","Collisions with 1 pedestrian",6,6,0
"June","2010","Rural","70 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Rural","80 km per hour","Collisions with 0 pedestrians",838,1216,32
"June","2010","Rural","80 km per hour","Collisions with 1 pedestrian",9,8,2
"June","2010","Rural","80 km per hour","Collisions with 2 pedestrians",2,2,1
"June","2010","Rural","80 km per hour","Collisions with 3 or more pedestrians",1,1,0
"June","2010","Rural","90 km per hour","Collisions with 0 pedestrians",555,800,30
"June","2010","Rural","90 km per hour","Collisions with 1 pedestrian",10,9,2
"June","2010","Rural","90 km per hour","Collisions with 2 pedestrians",1,1,0
"June","2010","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Rural","100 km per hour","Collisions with 0 pedestrians",681,941,22
"June","2010","Rural","100 km per hour","Collisions with 1 pedestrian",2,3,0
"June","2010","Rural","100 km per hour","Collisions with 2 pedestrians",1,1,0
"June","2010","Rural","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Rural","110 km per hour","Collisions with 0 pedestrians",42,62,3
"June","2010","Rural","110 km per hour","Collisions with 1 pedestrian",1,1,0
"June","2010","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Rural","Unknown","Collisions with 0 pedestrians",154,206,6
"June","2010","Rural","Unknown","Collisions with 1 pedestrian",11,11,0
"June","2010","Rural","Unknown","Collisions with 2 pedestrians",2,4,0
"June","2010","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",1,1,0
"June","2010","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"June","2010","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","40 km per hour","Collisions with 0 pedestrians",1,1,0
"June","2010","Unknown","40 km per hour","Collisions with 1 pedestrian",1,1,0
"June","2010","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","50 km per hour","Collisions with 0 pedestrians",9,14,0
"June","2010","Unknown","50 km per hour","Collisions with 1 pedestrian",2,2,0
"June","2010","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","60 km per hour","Collisions with 0 pedestrians",3,3,0
"June","2010","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"June","2010","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","70 km per hour","Collisions with 0 pedestrians",3,3,1
"June","2010","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"June","2010","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","80 km per hour","Collisions with 0 pedestrians",2,2,0
"June","2010","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"June","2010","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","90 km per hour","Collisions with 0 pedestrians",2,5,0
"June","2010","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"June","2010","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","100 km per hour","Collisions with 0 pedestrians",2,2,0
"June","2010","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"June","2010","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","110 km per hour","Collisions with 0 pedestrians",1,1,0
"June","2010","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"June","2010","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2010","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2010","Unknown","Unknown","Collisions with 0 pedestrians",14,16,0
"June","2010","Unknown","Unknown","Collisions with 1 pedestrian",3,3,0
"June","2010","Unknown","Unknown","Collisions with 2 pedestrians",1,1,0
"June","2010","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"June","2011","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",76,91,0
"June","2011","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",26,26,0
"June","2011","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",2,4,0
"June","2011","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2011","Urban","40 km per hour","Collisions with 0 pedestrians",277,348,0
"June","2011","Urban","40 km per hour","Collisions with 1 pedestrian",57,57,1
"June","2011","Urban","40 km per hour","Collisions with 2 pedestrians",1,1,0
"June","2011","Urban","40 km per hour","Collisions with 3 or more pedestrians",1,1,0
"June","2011","Urban","50 km per hour","Collisions with 0 pedestrians",3523,4694,19
"June","2011","Urban","50 km per hour","Collisions with 1 pedestrian",402,413,11
"June","2011","Urban","50 km per hour","Collisions with 2 pedestrians",28,35,3
"June","2011","Urban","50 km per hour","Collisions with 3 or more pedestrians",7,14,0
"June","2011","Urban","60 km per hour","Collisions with 0 pedestrians",1001,1495,5
"June","2011","Urban","60 km per hour","Collisions with 1 pedestrian",73,74,1
"June","2011","Urban","60 km per hour","Collisions with 2 pedestrians",6,12,1
"June","2011","Urban","60 km per hour","Collisions with 3 or more pedestrians",1,1,0
"June","2011","Urban","70 km per hour","Collisions with 0 pedestrians",230,347,3
"June","2011","Urban","70 km per hour","Collisions with 1 pedestrian",2,2,0
"June","2011","Urban","70 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2011","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"June","2011","Urban","80 km per hour","Collisions with 0 pedestrians",67,113,3
"June","2011","Urban","80 km per hour","Collisions with 1 pedestrian",1,1,0
"June","2011","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"June","2011","Urban","80 km per hour","Collisions with 3 or more pedestrians",1,2,0
"June","2011","Urban","90 km per hour","Collisions with 0 pedestrians",76,107,4
"June","2011","Urban","90 km per hour","Collisions with 1 pedestrian",0,0,0
